Repository Agent Name,Repository Path,Repository Category,Match Type,Match Confidence,Original Author,Author GitHub,License,Original Source URL,Notes,Content Similarity,Wshobson Source URL,Wshobson Path,Verification Status
terraform-specialist,agents/devops-infrastructure/terraform-specialist.md,devops-infrastructure,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,81.25%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/cicd-automation/agents/terraform-specialist.md,plugins/cicd-automation/agents/terraform-specialist.md,verified
cloud-architect,agents/devops-infrastructure/cloud-architect.md,devops-infrastructure,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,80.43%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/cicd-automation/agents/cloud-architect.md,plugins/cicd-automation/agents/cloud-architect.md,verified
legal-advisor,agents/business-marketing/legal-advisor.md,business-marketing,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,100.00%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/hr-legal-compliance/agents/legal-advisor.md,plugins/hr-legal-compliance/agents/legal-advisor.md,verified
sales-automator,agents/business-marketing/sales-automator.md,business-marketing,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,100.00%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/customer-sales-automation/agents/sales-automator.md,plugins/customer-sales-automation/agents/sales-automator.md,verified
risk-manager,agents/business-marketing/risk-manager.md,business-marketing,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,100.00%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/quantitative-trading/agents/risk-manager.md,plugins/quantitative-trading/agents/risk-manager.md,verified
payment-integration,agents/business-marketing/payment-integration.md,business-marketing,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,100.00%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/payment-processing/agents/payment-integration.md,plugins/payment-processing/agents/payment-integration.md,verified
content-marketer,agents/business-marketing/content-marketer.md,business-marketing,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,79.59%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/content-marketing/agents/content-marketer.md,plugins/content-marketing/agents/content-marketer.md,verified
customer-support,agents/business-marketing/customer-support.md,business-marketing,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,71.43%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/customer-sales-automation/agents/customer-support.md,plugins/customer-sales-automation/agents/customer-support.md,verified
business-analyst,agents/business-marketing/business-analyst.md,business-marketing,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,67.74%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/business-analytics/agents/business-analyst.md,plugins/business-analytics/agents/business-analyst.md,verified
test-automator,agents/performance-testing/test-automator.md,performance-testing,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,86.67%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/codebase-cleanup/agents/test-automator.md,plugins/codebase-cleanup/agents/test-automator.md,verified
performance-engineer,agents/performance-testing/performance-engineer.md,performance-testing,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,85.11%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/application-performance/agents/performance-engineer.md,plugins/application-performance/agents/performance-engineer.md,verified
golang-pro,agents/programming-languages/golang-pro.md,programming-languages,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,77.08%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/systems-programming/agents/golang-pro.md,plugins/systems-programming/agents/golang-pro.md,verified
cpp-pro,agents/programming-languages/cpp-pro.md,programming-languages,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,100.00%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/systems-programming/agents/cpp-pro.md,plugins/systems-programming/agents/cpp-pro.md,verified
sql-pro,agents/programming-languages/sql-pro.md,programming-languages,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,85.11%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/database-design/agents/sql-pro.md,plugins/database-design/agents/sql-pro.md,verified
php-pro,agents/programming-languages/php-pro.md,programming-languages,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,100.00%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/web-scripting/agents/php-pro.md,plugins/web-scripting/agents/php-pro.md,verified
python-pro,agents/programming-languages/python-pro.md,programming-languages,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,81.48%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/python-development/agents/python-pro.md,plugins/python-development/agents/python-pro.md,verified
typescript-pro,agents/programming-languages/typescript-pro.md,programming-languages,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,90.48%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/javascript-typescript/agents/typescript-pro.md,plugins/javascript-typescript/agents/typescript-pro.md,verified
rust-pro,agents/programming-languages/rust-pro.md,programming-languages,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,76.60%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/systems-programming/agents/rust-pro.md,plugins/systems-programming/agents/rust-pro.md,verified
javascript-pro,agents/programming-languages/javascript-pro.md,programming-languages,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,100.00%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/javascript-typescript/agents/javascript-pro.md,plugins/javascript-typescript/agents/javascript-pro.md,verified
c-pro,agents/programming-languages/c-pro.md,programming-languages,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,100.00%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/systems-programming/agents/c-pro.md,plugins/systems-programming/agents/c-pro.md,verified
api-documenter,agents/documentation/api-documenter.md,documentation,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,78.72%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/api-testing-observability/agents/api-documenter.md,plugins/api-testing-observability/agents/api-documenter.md,verified
data-scientist,agents/data-ai/data-scientist.md,data-ai,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,65.15%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/machine-learning-ops/agents/data-scientist.md,plugins/machine-learning-ops/agents/data-scientist.md,verified
ai-engineer,agents/data-ai/ai-engineer.md,data-ai,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,84.78%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/llm-application-dev/agents/ai-engineer.md,plugins/llm-application-dev/agents/ai-engineer.md,verified
quant-analyst,agents/data-ai/quant-analyst.md,data-ai,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,100.00%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/quantitative-trading/agents/quant-analyst.md,plugins/quantitative-trading/agents/quant-analyst.md,verified
data-engineer,agents/data-ai/data-engineer.md,data-ai,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,81.25%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/data-engineering/agents/data-engineer.md,plugins/data-engineering/agents/data-engineer.md,verified
ml-engineer,agents/data-ai/ml-engineer.md,data-ai,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,82.98%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/machine-learning-ops/agents/ml-engineer.md,plugins/machine-learning-ops/agents/ml-engineer.md,verified
mlops-engineer,agents/data-ai/mlops-engineer.md,data-ai,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,84.78%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/machine-learning-ops/agents/mlops-engineer.md,plugins/machine-learning-ops/agents/mlops-engineer.md,verified
architect-review,agents/expert-advisors/architect-review.md,expert-advisors,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,82.00%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/code-review-ai/agents/architect-review.md,plugins/code-review-ai/agents/architect-review.md,verified
legacy-modernizer,agents/modernization/legacy-modernizer.md,modernization,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,100.00%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/code-refactoring/agents/legacy-modernizer.md,plugins/code-refactoring/agents/legacy-modernizer.md,verified
prompt-engineer,agents/ai-specialists/prompt-engineer.md,ai-specialists,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,86.79%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/llm-application-dev/agents/prompt-engineer.md,plugins/llm-application-dev/agents/prompt-engineer.md,verified
search-specialist,agents/ai-specialists/search-specialist.md,ai-specialists,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,100.00%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/content-marketing/agents/search-specialist.md,plugins/content-marketing/agents/search-specialist.md,verified
error-detective,agents/development-tools/error-detective.md,development-tools,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,100.00%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/distributed-debugging/agents/error-detective.md,plugins/distributed-debugging/agents/error-detective.md,verified
dx-optimizer,agents/development-tools/dx-optimizer.md,development-tools,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,100.00%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/debugging-toolkit/agents/dx-optimizer.md,plugins/debugging-toolkit/agents/dx-optimizer.md,verified
code-reviewer,agents/development-tools/code-reviewer.md,development-tools,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,71.43%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/code-documentation/agents/code-reviewer.md,plugins/code-documentation/agents/code-reviewer.md,verified
context-manager,agents/development-tools/context-manager.md,development-tools,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,78.85%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/agent-orchestration/agents/context-manager.md,plugins/agent-orchestration/agents/context-manager.md,verified
debugger,agents/development-tools/debugger.md,development-tools,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,100.00%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/debugging-toolkit/agents/debugger.md,plugins/debugging-toolkit/agents/debugger.md,verified
graphql-architect,agents/api-graphql/graphql-architect.md,api-graphql,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,68.33%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/api-scaffolding/agents/graphql-architect.md,plugins/api-scaffolding/agents/graphql-architect.md,verified
database-optimizer,agents/database/database-optimizer.md,database,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,83.67%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/database-cloud-optimization/agents/database-optimizer.md,plugins/database-cloud-optimization/agents/database-optimizer.md,verified
database-architect,agents/database/database-architect.md,database,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,72.06%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/database-cloud-optimization/agents/database-architect.md,plugins/database-cloud-optimization/agents/database-architect.md,verified
database-admin,agents/database/database-admin.md,database,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,83.33%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/database-migrations/agents/database-admin.md,plugins/database-migrations/agents/database-admin.md,verified
