Repository Command Name,Repository Path,Repository Category,Awesome-Claude-Code Display Name,Original Author,Author GitHub,License,Original Source URL,Awesome-Claude-Code Category,Match Type,Match Confidence,Description,Awesome-Claude-Code ID
commit,commands/git-workflow/commit.md,git-workflow,/commit,evmts,https://github.com/evmts,MIT,https://github.com/evmts/tevm-monorepo/blob/main/.claude/commands/commit.md,Version Control & Git,exact_match,high,"Creates git commits using conventional commit format with appropriate emojis, following project standards and creating descriptive messages that explain the purpose of changes.",cmd-b6a797df
create-pr,commands/git-workflow/create-pr.md,git-workflow,/create-pr,toyamarinyon,https://github.com/toyamarinyon,Apache-2.0,https://github.com/toyamarinyon/giselle/blob/main/.claude/commands/create-pr.md,Version Control & Git,exact_match,high,"Streamlines pull request creation by handling the entire workflow: creating a new branch, committing changes, formatting modified files with Biome, and submitting the PR.",cmd-2f41bf88
update-branch-name,commands/git-workflow/update-branch-name.md,git-workflow,/update-branch-name,giselles-ai,https://github.com/giselles-ai,Apache-2.0,https://github.com/giselles-ai/giselle/blob/main/.claude/commands/update-branch-name.md,Version Control & Git,exact_match,high,"Updates branch names with proper prefixes and formats, enforcing naming conventions, supporting semantic prefixes, and managing remote branch updates.",cmd-d32f827c
act,commands/automation/act.md,automation,/act,sotayamashita,https://github.com/sotayamashita,MIT,https://github.com/sotayamashita/dotfiles/blob/main/.claude/commands/act.md,Miscellaneous,exact_match,high,"Generates React components with proper accessibility, creating ARIA-compliant components with keyboard navigation that follow React best practices and include comprehensive accessibility testing.",cmd-089f917a
husky,commands/automation/husky.md,automation,/husky,evmts,https://github.com/evmts,MIT,https://github.com/evmts/tevm-monorepo/blob/main/.claude/commands/husky.md,Version Control & Git,exact_match,high,"Sets up and manages Husky Git hooks by configuring pre-commit hooks, establishing commit message standards, integrating with linting tools, and ensuring code quality on commits.",cmd-a1042630
release,commands/git/release.md,git,/release,kelp,https://github.com/kelp,MIT,https://github.com/kelp/webdown/blob/main/.claude/commands/release.md,CI / Deployment,exact_match,high,"Manages software releases by updating changelogs, reviewing README changes, evaluating version increments, and documenting release changes for better version tracking.",cmd-39a87802
testing_plan_integration,commands/testing/testing_plan_integration.md,testing,/testing_plan_integration,buster-so,https://github.com/buster-so,NOASSERTION,https://github.com/buster-so/buster/blob/main/api/.claude/commands/testing_plan_integration.md,Code Analysis & Testing,exact_match,high,"Creates inline Rust-style tests, suggests refactoring for testability, analyzes code challenges, and creates comprehensive test coverage for robust code.",cmd-7991e9fb
create-prd,commands/project-management/create-prd.md,project-management,/create-prd,taddyorg,https://github.com/taddyorg,AGPL-3.0,https://github.com/taddyorg/inkverse/blob/main/.claude/commands/create-prd.md,Project & Task Management,exact_match,high,"Generates comprehensive product requirement documents outlining detailed specifications, requirements, and features following standardized document structure and format.",cmd-0420f9cb
create-jtbd,commands/project-management/create-jtbd.md,project-management,/create-jtbd,taddyorg,https://github.com/taddyorg,AGPL-3.0,https://github.com/taddyorg/inkverse/blob/main/.claude/commands/create-jtbd.md,Project & Task Management,exact_match,high,"Creates Jobs-to-be-Done frameworks that outline user needs with structured format, focusing on specific user problems and organizing by job categories for product development.",cmd-15eb4d26
add-to-changelog,commands/project-management/add-to-changelog.md,project-management,/add-to-changelog,berrydev-ai,https://github.com/berrydev-ai,MIT,https://github.com/berrydev-ai/blockdoc-python/blob/main/.claude/commands/add-to-changelog.md,Documentation & Changelogs,exact_match,high,"Adds new entries to changelog files while maintaining format consistency, properly documenting changes, and following established project standards for version tracking.",cmd-989ec43f
release,commands/project-management/release.md,project-management,/release,kelp,https://github.com/kelp,MIT,https://github.com/kelp/webdown/blob/main/.claude/commands/release.md,CI / Deployment,exact_match,high,"Manages software releases by updating changelogs, reviewing README changes, evaluating version increments, and documenting release changes for better version tracking.",cmd-39a87802
create-prp,commands/project-management/create-prp.md,project-management,/create-prp,Wirasm,https://github.com/Wirasm,MIT,https://github.com/Wirasm/claudecode-utils/blob/main/.claude/commands/create-prp.md,Project & Task Management,exact_match,high,"Creates product requirement plans by reading PRP methodology, following template structure, creating comprehensive requirements, and structuring product definitions for development.",cmd-ec48035a
todo,commands/project-management/todo.md,project-management,/todo,chrisleyva,https://github.com/chrisleyva,MIT,https://github.com/chrisleyva/todo-slash-command/blob/main/todo.md,Project & Task Management,exact_match,high,"A convenient command to quickly manage project todo items without leaving the Claude Code interface, featuring due dates, sorting, task prioritization, and comprehensive todo list management.",cmd-1bc55517
