Repository Agent Name,Repository Path,Repository Category,Match Type,Match Confidence,Original Author,Author GitHub,License,Original Source URL,Notes,Content Similarity,Wshobson Source URL,Verification Status
javascript-pro,agents/programming-languages/javascript-pro.md,programming-languages,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,100.00%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/javascript-typescript/agents/javascript-pro.md,verified
c-pro,agents/programming-languages/c-pro.md,programming-languages,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,100.00%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/systems-programming/agents/c-pro.md,verified
api-documenter,agents/documentation/api-documenter.md,documentation,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,78.72%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/documentation-generation/agents/api-documenter.md,verified
data-scientist,agents/data-ai/data-scientist.md,data-ai,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,65.15%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/machine-learning-ops/agents/data-scientist.md,verified
ai-engineer,agents/data-ai/ai-engineer.md,data-ai,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,84.78%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/llm-application-dev/agents/ai-engineer.md,verified
data-engineer,agents/data-ai/data-engineer.md,data-ai,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,81.25%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/data-engineering/agents/data-engineer.md,verified
ml-engineer,agents/data-ai/ml-engineer.md,data-ai,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,82.98%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/machine-learning-ops/agents/ml-engineer.md,verified
mlops-engineer,agents/data-ai/mlops-engineer.md,data-ai,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,84.78%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/machine-learning-ops/agents/mlops-engineer.md,verified
prompt-engineer,agents/ai-specialists/prompt-engineer.md,ai-specialists,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,86.79%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/llm-application-dev/agents/prompt-engineer.md,verified
dx-optimizer,agents/development-tools/dx-optimizer.md,development-tools,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,100.00%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/debugging-toolkit/agents/dx-optimizer.md,verified
code-reviewer,agents/development-tools/code-reviewer.md,development-tools,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,71.43%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/code-documentation/agents/code-reviewer.md,verified
debugger,agents/development-tools/debugger.md,development-tools,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,100.00%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/debugging-toolkit/agents/debugger.md,verified
graphql-architect,agents/api-graphql/graphql-architect.md,api-graphql,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,68.33%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/api-scaffolding/agents/graphql-architect.md,verified
database-architect,agents/database/database-architect.md,database,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,72.06%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/database-design/agents/database-architect.md,verified
