Repository Agent Name,Repository Path,Repository Category,Match Type,Match Confidence,Original Author,Author GitHub,License,Original Source URL,Notes
academic-researcher,agents/deep-research-team/academic-researcher.md,deep-research-team,no_match,none,Unknown,,Unknown,,Not from wshobson
research-brief-generator,agents/deep-research-team/research-brief-generator.md,deep-research-team,no_match,none,Unknown,,Unknown,,Not from wshobson
research-synthesizer,agents/deep-research-team/research-synthesizer.md,deep-research-team,no_match,none,Unknown,,Unknown,,Not from wshobson
data-analyst,agents/deep-research-team/data-analyst.md,deep-research-team,no_match,none,Unknown,,Unknown,,Not from wshobson
research-coordinator,agents/deep-research-team/research-coordinator.md,deep-research-team,no_match,none,Unknown,,Unknown,,Not from wshobson
technical-researcher,agents/deep-research-team/technical-researcher.md,deep-research-team,no_match,none,Unknown,,Unknown,,Not from wshobson
nia-oracle,agents/deep-research-team/nia-oracle.md,deep-research-team,no_match,none,Unknown,,Unknown,,Not from wshobson
query-clarifier,agents/deep-research-team/query-clarifier.md,deep-research-team,no_match,none,Unknown,,Unknown,,Not from wshobson
agent-overview,agents/deep-research-team/agent-overview.md,deep-research-team,no_match,none,Unknown,,Unknown,,Not from wshobson
competitive-intelligence-analyst,agents/deep-research-team/competitive-intelligence-analyst.md,deep-research-team,no_match,none,Unknown,,Unknown,,Not from wshobson
fact-checker,agents/deep-research-team/fact-checker.md,deep-research-team,no_match,none,Unknown,,Unknown,,Not from wshobson
research-orchestrator,agents/deep-research-team/research-orchestrator.md,deep-research-team,no_match,none,Unknown,,Unknown,,Not from wshobson
c-sharp-pro,agents/programming-languages/c-sharp-pro.md,programming-languages,no_match,none,Unknown,,Unknown,,Not from wshobson
shell-scripting-pro,agents/programming-languages/shell-scripting-pro.md,programming-languages,no_match,none,Unknown,,Unknown,,Not from wshobson
technical-writer,agents/documentation/technical-writer.md,documentation,no_match,none,Unknown,,Unknown,,Not from wshobson
changelog-generator,agents/documentation/changelog-generator.md,documentation,no_match,none,Unknown,,Unknown,,Not from wshobson
docusaurus-expert,agents/documentation/docusaurus-expert.md,documentation,no_match,none,Unknown,,Unknown,,Not from wshobson
nlp-engineer,agents/data-ai/nlp-engineer.md,data-ai,no_match,none,Unknown,,Unknown,,Not from wshobson
computer-vision-engineer,agents/data-ai/computer-vision-engineer.md,data-ai,no_match,none,Unknown,,Unknown,,Not from wshobson
agent-expert,agents/expert-advisors/agent-expert.md,expert-advisors,no_match,none,Unknown,,Unknown,,Not from wshobson
dependency-manager,agents/expert-advisors/dependency-manager.md,expert-advisors,no_match,none,Unknown,,Unknown,,Not from wshobson
documentation-expert,agents/expert-advisors/documentation-expert.md,expert-advisors,no_match,none,Unknown,,Unknown,,Not from wshobson
seo-analyzer,agents/web-tools/seo-analyzer.md,web-tools,no_match,none,Unknown,,Unknown,,Not from wshobson
url-context-validator,agents/web-tools/url-context-validator.md,web-tools,no_match,none,Unknown,,Unknown,,Not from wshobson
web-accessibility-checker,agents/web-tools/web-accessibility-checker.md,web-tools,no_match,none,Unknown,,Unknown,,Not from wshobson
nextjs-architecture-expert,agents/web-tools/nextjs-architecture-expert.md,web-tools,no_match,none,Unknown,,Unknown,,Not from wshobson
react-performance-optimizer,agents/web-tools/react-performance-optimizer.md,web-tools,no_match,none,Unknown,,Unknown,,Not from wshobson
url-link-extractor,agents/web-tools/url-link-extractor.md,web-tools,no_match,none,Unknown,,Unknown,,Not from wshobson
cloud-migration-specialist,agents/modernization/cloud-migration-specialist.md,modernization,no_match,none,Unknown,,Unknown,,Not from wshobson
architecture-modernizer,agents/modernization/architecture-modernizer.md,modernization,no_match,none,Unknown,,Unknown,,Not from wshobson
smart-contract-auditor,agents/blockchain-web3/smart-contract-auditor.md,blockchain-web3,no_match,none,Unknown,,Unknown,,Not from wshobson
web3-integration-specialist,agents/blockchain-web3/web3-integration-specialist.md,blockchain-web3,no_match,none,Unknown,,Unknown,,Not from wshobson
smart-contract-specialist,agents/blockchain-web3/smart-contract-specialist.md,blockchain-web3,no_match,none,Unknown,,Unknown,,Not from wshobson
mcp-deployment-orchestrator,agents/mcp-dev-team/mcp-deployment-orchestrator.md,mcp-dev-team,no_match,none,Unknown,,Unknown,,Not from wshobson
mcp-registry-navigator,agents/mcp-dev-team/mcp-registry-navigator.md,mcp-dev-team,no_match,none,Unknown,,Unknown,,Not from wshobson
mcp-testing-engineer,agents/mcp-dev-team/mcp-testing-engineer.md,mcp-dev-team,no_match,none,Unknown,,Unknown,,Not from wshobson
mcp-protocol-specialist,agents/mcp-dev-team/mcp-protocol-specialist.md,mcp-dev-team,no_match,none,Unknown,,Unknown,,Not from wshobson
mcp-security-auditor,agents/mcp-dev-team/mcp-security-auditor.md,mcp-dev-team,partial_match,medium,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Partial match - verify manually
mcp-server-architect,agents/mcp-dev-team/mcp-server-architect.md,mcp-dev-team,no_match,none,Unknown,,Unknown,,Not from wshobson
mcp-integration-engineer,agents/mcp-dev-team/mcp-integration-engineer.md,mcp-dev-team,no_match,none,Unknown,,Unknown,,Not from wshobson
ai-ethics-advisor,agents/ai-specialists/ai-ethics-advisor.md,ai-specialists,no_match,none,Unknown,,Unknown,,Not from wshobson
task-decomposition-expert,agents/ai-specialists/task-decomposition-expert.md,ai-specialists,no_match,none,Unknown,,Unknown,,Not from wshobson
llms-maintainer,agents/ai-specialists/llms-maintainer.md,ai-specialists,no_match,none,Unknown,,Unknown,,Not from wshobson
model-evaluator,agents/ai-specialists/model-evaluator.md,ai-specialists,no_match,none,Unknown,,Unknown,,Not from wshobson
hackathon-ai-strategist,agents/ai-specialists/hackathon-ai-strategist.md,ai-specialists,no_match,none,Unknown,,Unknown,,Not from wshobson
market-research-analyst,agents/podcast-creator-team/market-research-analyst.md,podcast-creator-team,no_match,none,Unknown,,Unknown,,Not from wshobson
podcast-editor,agents/podcast-creator-team/podcast-editor.md,podcast-creator-team,no_match,none,Unknown,,Unknown,,Not from wshobson
guest-outreach-coordinator,agents/podcast-creator-team/guest-outreach-coordinator.md,podcast-creator-team,no_match,none,Unknown,,Unknown,,Not from wshobson
comprehensive-researcher,agents/podcast-creator-team/comprehensive-researcher.md,podcast-creator-team,no_match,none,Unknown,,Unknown,,Not from wshobson
social-media-copywriter,agents/podcast-creator-team/social-media-copywriter.md,podcast-creator-team,no_match,none,Unknown,,Unknown,,Not from wshobson
project-supervisor-orchestrator,agents/podcast-creator-team/project-supervisor-orchestrator.md,podcast-creator-team,no_match,none,Unknown,,Unknown,,Not from wshobson
academic-research-synthesizer,agents/podcast-creator-team/academic-research-synthesizer.md,podcast-creator-team,no_match,none,Unknown,,Unknown,,Not from wshobson
episode-orchestrator,agents/podcast-creator-team/episode-orchestrator.md,podcast-creator-team,no_match,none,Unknown,,Unknown,,Not from wshobson
podcast-trend-scout,agents/podcast-creator-team/podcast-trend-scout.md,podcast-creator-team,no_match,none,Unknown,,Unknown,,Not from wshobson
twitter-ai-influencer-manager,agents/podcast-creator-team/twitter-ai-influencer-manager.md,podcast-creator-team,no_match,none,Unknown,,Unknown,,Not from wshobson
seo-podcast-optimizer,agents/podcast-creator-team/seo-podcast-optimizer.md,podcast-creator-team,no_match,none,Unknown,,Unknown,,Not from wshobson
git-flow-manager,agents/git/git-flow-manager.md,git,no_match,none,Unknown,,Unknown,,Not from wshobson
unreal-engine-developer,agents/game-development/unreal-engine-developer.md,game-development,no_match,none,Unknown,,Unknown,,Not from wshobson
unity-game-developer,agents/game-development/unity-game-developer.md,game-development,no_match,none,Unknown,,Unknown,,Not from wshobson
3d-artist,agents/game-development/3d-artist.md,game-development,no_match,none,Unknown,,Unknown,,Not from wshobson
game-designer,agents/game-development/game-designer.md,game-development,no_match,none,Unknown,,Unknown,,Not from wshobson
flutter-go-reviewer,agents/development-tools/flutter-go-reviewer.md,development-tools,no_match,none,Unknown,,Unknown,,Not from wshobson
performance-profiler,agents/development-tools/performance-profiler.md,development-tools,no_match,none,Unknown,,Unknown,,Not from wshobson
test-engineer,agents/development-tools/test-engineer.md,development-tools,no_match,none,Unknown,,Unknown,,Not from wshobson
command-expert,agents/development-tools/command-expert.md,development-tools,no_match,none,Unknown,,Unknown,,Not from wshobson
unused-code-cleaner,agents/development-tools/unused-code-cleaner.md,development-tools,no_match,none,Unknown,,Unknown,,Not from wshobson
mcp-expert,agents/development-tools/mcp-expert.md,development-tools,no_match,none,Unknown,,Unknown,,Not from wshobson
video-editor,agents/ffmpeg-clip-team/video-editor.md,ffmpeg-clip-team,no_match,none,Unknown,,Unknown,,Not from wshobson
social-media-clip-creator,agents/ffmpeg-clip-team/social-media-clip-creator.md,ffmpeg-clip-team,no_match,none,Unknown,,Unknown,,Not from wshobson
podcast-metadata-specialist,agents/ffmpeg-clip-team/podcast-metadata-specialist.md,ffmpeg-clip-team,no_match,none,Unknown,,Unknown,,Not from wshobson
timestamp-precision-specialist,agents/ffmpeg-clip-team/timestamp-precision-specialist.md,ffmpeg-clip-team,no_match,none,Unknown,,Unknown,,Not from wshobson
podcast-content-analyzer,agents/ffmpeg-clip-team/podcast-content-analyzer.md,ffmpeg-clip-team,no_match,none,Unknown,,Unknown,,Not from wshobson
audio-quality-controller,agents/ffmpeg-clip-team/audio-quality-controller.md,ffmpeg-clip-team,no_match,none,Unknown,,Unknown,,Not from wshobson
podcast-transcriber,agents/ffmpeg-clip-team/podcast-transcriber.md,ffmpeg-clip-team,no_match,none,Unknown,,Unknown,,Not from wshobson
audio-mixer,agents/ffmpeg-clip-team/audio-mixer.md,ffmpeg-clip-team,no_match,none,Unknown,,Unknown,,Not from wshobson
graphql-security-specialist,agents/api-graphql/graphql-security-specialist.md,api-graphql,no_match,none,Unknown,,Unknown,,Not from wshobson
graphql-performance-optimizer,agents/api-graphql/graphql-performance-optimizer.md,api-graphql,no_match,none,Unknown,,Unknown,,Not from wshobson
nosql-specialist,agents/database/nosql-specialist.md,database,no_match,none,Unknown,,Unknown,,Not from wshobson
neon-auth-specialist,agents/database/neon-auth-specialist.md,database,no_match,none,Unknown,,Unknown,,Not from wshobson
supabase-schema-architect,agents/database/supabase-schema-architect.md,database,no_match,none,Unknown,,Unknown,,Not from wshobson
neon-database-architect,agents/database/neon-database-architect.md,database,no_match,none,Unknown,,Unknown,,Not from wshobson
neon-expert,agents/database/neon-expert.md,database,no_match,none,Unknown,,Unknown,,Not from wshobson
database-optimization,agents/database/database-optimization.md,database,no_match,none,Unknown,,Unknown,,Not from wshobson
