Repository Agent Name,Repository Path,Repository Category,Match Type,Match Confidence,Original Author,Author GitHub,License,Original Source URL,Notes
data-engineer,agents/data-ai/data-engineer.md,data-ai,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match
ml-engineer,agents/data-ai/ml-engineer.md,data-ai,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match
mlops-engineer,agents/data-ai/mlops-engineer.md,data-ai,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match
architect-review,agents/expert-advisors/architect-review.md,expert-advisors,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match
legacy-modernizer,agents/modernization/legacy-modernizer.md,modernization,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match
prompt-engineer,agents/ai-specialists/prompt-engineer.md,ai-specialists,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match
search-specialist,agents/ai-specialists/search-specialist.md,ai-specialists,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match
error-detective,agents/development-tools/error-detective.md,development-tools,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match
dx-optimizer,agents/development-tools/dx-optimizer.md,development-tools,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match
code-reviewer,agents/development-tools/code-reviewer.md,development-tools,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match
context-manager,agents/development-tools/context-manager.md,development-tools,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match
debugger,agents/development-tools/debugger.md,development-tools,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match
graphql-architect,agents/api-graphql/graphql-architect.md,api-graphql,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match
database-optimizer,agents/database/database-optimizer.md,database,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match
database-architect,agents/database/database-architect.md,database,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match
database-admin,agents/database/database-admin.md,database,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match
